estacion,bit,delta_ppb,umbral_p95_ppb,n_ataques,n_dano_banda,n_detectados,n_dano_detectado,n_dano_no_detectado,pct_dano,pct_dano_detectado,pct_dano_no_detectado,dias_disponibles,dias_vulnerables,dias_no_detectados,pct_dias_vulnerables,pct_dias_dano_no_detectado,falsas_fase1,anuladas_fase1,cruces_fase2_arriba,cruces_fase2_abajo
SAC,4,16,19.09607696533203,1430,149,436,74,75,10.41958041958042,49.66442953020134,50.33557046979866,62,55,43,88.70967741935483,69.35483870967742,0,0,0,0
SAC,5,32,19.09607696533203,1430,331,1212,273,58,23.146853146853147,82.4773413897281,17.522658610271904,62,61,31,98.38709677419355,50.0,3,0,0,0
SAC,6,64,19.09607696533203,1430,1430,1418,1418,12,100.0,99.16083916083916,0.8391608391608392,62,62,7,100.0,11.290322580645162,3,0,3,0
SAC,7,128,19.09607696533203,1430,1430,1430,1430,0,100.0,100.0,0.0,62,62,0,100.0,0.0,623,0,175,0
SAG,3,8,14.493707656860352,1511,101,314,36,65,6.684315023163468,35.64356435643565,64.35643564356435,68,50,39,73.52941176470588,57.35294117647059,0,0,0,0
SAG,4,16,14.493707656860352,1511,118,585,61,57,7.809397749834547,51.69491525423729,48.30508474576271,68,55,37,80.88235294117646,54.411764705882355,0,0,0,0
SAG,5,32,14.493707656860352,1511,269,1445,247,22,17.802779616148246,91.82156133828997,8.178438661710038,68,62,15,91.17647058823529,22.058823529411764,0,0,0,0
SAG,6,64,14.493707656860352,1511,1511,1511,1511,0,100.0,100.0,0.0,68,67,0,98.52941176470588,0.0,0,0,0,0
SAG,7,128,14.493707656860352,1511,1511,1511,1511,0,100.0,100.0,0.0,68,67,0,98.52941176470588,0.0,524,0,96,0
TLA,3,8,20.43739128112793,1675,131,245,38,93,7.82089552238806,29.00763358778626,70.99236641221374,73,59,53,80.82191780821918,72.6027397260274,0,0,0,0
TLA,4,16,20.43739128112793,1675,131,503,56,75,7.82089552238806,42.74809160305343,57.25190839694657,73,61,45,83.56164383561644,61.64383561643836,0,0,0,0
TLA,5,32,20.43739128112793,1675,301,1482,243,58,17.970149253731343,80.73089700996678,19.269102990033222,73,68,33,93.15068493150685,45.205479452054796,0,0,0,0
TLA,6,64,20.43739128112793,1675,1675,1669,1669,6,100.0,99.64179104477611,0.3582089552238806,73,72,3,98.63013698630137,4.109589041095891,0,0,0,0
TLA,7,128,20.43739128112793,1675,1675,1675,1675,0,100.0,100.0,0.0,73,72,0,98.63013698630137,0.0,565,0,123,0
TLI,3,8,16.532493591308594,1664,128,295,44,84,7.6923076923076925,34.375,65.625,73,56,47,76.71232876712328,64.38356164383562,0,0,0,0
TLI,4,16,16.532493591308594,1664,130,697,70,60,7.8125,53.84615384615385,46.15384615384615,73,57,36,78.08219178082192,49.31506849315068,0,0,0,0
TLI,5,32,16.532493591308594,1664,297,1563,249,48,17.848557692307693,83.83838383838383,16.161616161616163,73,67,26,91.78082191780823,35.61643835616438,0,0,0,0
TLI,6,64,16.532493591308594,1664,1664,1664,1664,0,100.0,100.0,0.0,73,72,0,98.63013698630137,0.0,0,0,0,0
TLI,7,128,16.532493591308594,1664,1664,1664,1664,0,100.0,100.0,0.0,73,72,0,98.63013698630137,0.0,556,0,128,0
UAX,3,8,28.50927734375,1153,107,90,22,85,9.280138768430183,20.560747663551403,79.4392523364486,51,42,40,82.3529411764706,78.43137254901961,0,0,0,0
UAX,4,16,28.50927734375,1153,104,154,33,71,9.019947961838682,31.73076923076923,68.26923076923077,51,43,39,84.31372549019608,76.47058823529412,0,0,0,0
UAX,5,32,28.50927734375,1153,256,725,179,77,22.20294882914137,69.921875,30.078125,51,48,37,94.11764705882354,72.54901960784314,7,0,0,0
UAX,6,64,28.50927734375,1153,1153,1119,1119,34,100.0,97.05117085862966,2.9488291413703385,51,50,14,98.03921568627452,27.45098039215686,7,0,1,0
UAX,7,128,28.50927734375,1153,1153,1153,1153,0,100.0,100.0,0.0,51,50,0,98.03921568627452,0.0,453,0,142,0
UIZ,3,8,17.005664825439453,1334,104,248,39,65,7.796101949025488,37.5,62.5,60,48,40,80.0,66.66666666666667,0,0,0,0
UIZ,4,16,17.005664825439453,1334,117,530,61,56,8.770614692653673,52.136752136752136,47.863247863247864,60,48,35,80.0,58.333333333333336,0,0,0,0
UIZ,5,32,17.005664825439453,1334,263,1200,216,47,19.715142428785608,82.12927756653993,17.870722433460077,60,55,29,91.66666666666667,48.333333333333336,0,0,0,0
UIZ,6,64,17.005664825439453,1334,1334,1334,1334,0,100.0,100.0,0.0,60,59,0,98.33333333333333,0.0,0,0,0,0
UIZ,7,128,17.005664825439453,1334,1334,1334,1334,0,100.0,100.0,0.0,60,59,0,98.33333333333333,0.0,476,0,124,0
VIF,3,8,14.660818099975586,1568,127,337,46,81,8.099489795918368,36.22047244094488,63.77952755905512,69,54,41,78.26086956521739,59.42028985507246,0,0,0,0
VIF,4,16,14.660818099975586,1568,135,816,72,63,8.60969387755102,53.333333333333336,46.666666666666664,69,57,41,82.6086956521739,59.42028985507246,0,0,0,0
VIF,5,32,14.660818099975586,1568,255,1518,242,13,16.262755102040817,94.90196078431373,5.098039215686274,69,60,10,86.95652173913044,14.492753623188406,0,0,0,0
VIF,6,64,14.660818099975586,1568,1568,1568,1568,0,100.0,100.0,0.0,69,68,0,98.55072463768116,0.0,0,0,0,0
VIF,7,128,14.660818099975586,1568,1568,1568,1568,0,100.0,100.0,0.0,69,68,0,98.55072463768116,0.0,558,0,101,0
XAL,3,8,14.027103424072266,371,23,107,15,8,6.199460916442049,65.21739130434783,34.78260869565217,16,11,7,68.75,43.75,0,0,0,0
XAL,4,16,14.027103424072266,371,29,242,20,9,7.816711590296496,68.96551724137932,31.03448275862069,16,14,7,87.5,43.75,0,0,0,0
XAL,5,32,14.027103424072266,371,46,343,41,5,12.398921832884097,89.1304347826087,10.869565217391305,16,16,4,100.0,25.0,0,0,0,0
XAL,6,64,14.027103424072266,371,371,370,370,1,100.0,99.73045822102426,0.2695417789757412,16,16,1,100.0,6.25,0,0,0,0
XAL,7,128,14.027103424072266,371,371,371,371,0,100.0,100.0,0.0,16,16,0,100.0,0.0,114,0,10,0
